scenario,classification,sizeClass,featureCount,footprintKm2
dry_winter,PPM,2,931,6.28541741077631
dry_winter,PPM,3,686,20.017755158280014
dry_winter,PPM,4,342,30.840879982330147
dry_winter,PPM,5,31,6.875900776349426
dry_winter,PEM,2,931,6.28541741077631
dry_winter,PEM,3,686,20.017755158280014
dry_winter,PEM,4,373,33.96945322732604
wet_spring,PPM,2,1898,9.861934324420039
wet_spring,PPM,3,1205,15.012534212702642
wet_spring,PPM,4,503,18.322420989195464
wet_spring,PPM,5,50,5.400031831546784
wet_spring,PEM,2,3656,34.92626596420293
